source	date	quote	quote_lemmatized	values	values_minimal
2	20150410	Pro Asyl und die Wohlfahrtsverbände etwa befürchten, dass damit – entgegen der erklärten Absicht – vielen Geduldeten das Bleiberecht vorenthalten bleibt und Flüchtlinge viel häufiger in Haft genommen werden	pro Asyl Wohlfahrtsverbände etwa befürchten entgegen erklärt Absicht - vieler Geduldet Bleiberecht vorenthalten bleiben Flüchtling häufig Haft nehmen 	['200', '211']	{'2'}
2	20150410	Neues Bündnis startet Aktionswoche gegen geplante Asylrechtsverschärfung	neue Bündnis starten Aktionswoche geplant Asylrechtsverschärfung 	['100', '110']	{'1'}
2	20150410	Aktivisten besetzen SPD-Zentrale	Aktivist besetzen SPD-Zentrale 	['200', '211']	{'2'}
2	20150109	SPD-Chef Sigmar Gabriel schlug in einem Schreiben an alle im Bundestag vertretenen Parteien sowie an die FDP eine gemeinsame Solidaritätsbekundung mit den Franzosen vor.	SPD-Chef Sigmar Gabriel schlagen Schreiben Bundestag vertreten Partei sowie FDP gemeinsam Solidaritätsbekundung Franzose 	['700', '799']	{'7'}
2	20150109	 Die Pegida-Bewegung und die AfD hatten das Attentat von Paris als Bestätigung für ihre Warnungen vor dem Islam gesehen.	  Pegida-Bewegung AfD Attentat Paris Bestätigung Warnung Islam sehen 	['700', '711']	{'7'}
2	20150109	Justizminister Heiko Maas (SPD) besuchte bereits am Freitag demonstrativ die Sehitlik-Moschee in Berlin-Neukölln.	Justizminister Heiko Maas SPD besuchen bereits Freitag demonstrativ Sehitlik-Moschee Berlin-Neukölln 	['700', '711']	{'7'}
2	20150109	"""Unsere Aufgabe ist es, Kontakte in die Gesellschaft zu knüpfen und auf die Menschen zuzugehen"" , sagte sie."	Aufgabe Kontakt Gesellschaft knüpfen Mensch zugehen sagen 	['300', '399']	{'3'}
2	20150109	"""Wir müssen mehr miteinander reden"" , sagte er dort, denn das sei der beste Beitrag gegen die Radikalisierung auf beiden Seiten."	müssen mehr miteinander reden sagen gut Beitrag Radikalisierung beide Seite 	['700', '712']	{'7'}
2	20150201	"Der Migrationsbeauftragte der Deutschen Bischofskonferenz, Norbert Trelle, bezeichnete dagegen das Kirchenasyl als  ""Ultima Ratio"" . "	Migrationsbeauftragter deutsch Bischofskonferenz Norbert Trelle bezeichnen dagegen Kirchenasyl   Ultima Ratio 	['200', '213']	{'2'}
2	20150109	Die Zusagen von CDU, Grünen, Linkspartei und FDP kamen postwendend.	Zusage CDU grüne Linkspartei FDP kommen postwendend 	['700', '799']	{'7'}
2	20150201	"De Maizière wandte sich laut einem Bericht des Spiegels  ""prinzipiell und fundamental""  gegen die aktuelle Praxis der Kirchen"	De Maizière wenden laut Bericht Spiegel   prinzipiell fundamental   aktuell Praxis Kirche 	['200', '213']	{'2'}
2	20150109	SPD-Chef Gabriel ruft nach Pariser Anschlag zur parteiübergreifenden Demonstration auf	SPD-Chef Gabriel rufen Pariser Anschlag parteiübergreifend Demonstration 	['700', '708']	{'7'}
2	20150201	Es gehe nicht, dass sie sich eigenmächtig über bestehende Gesetze hinwegsetzten	gehen eigenmächtig bestehend Gesetz hinwegsetzten 	['800', '801']	{'8'}
2	20150109	"""Der perfide Plan von Terroristen, einen Keil in unsere Gesellschaft zu treiben, darf nicht aufgehen. Genauso wenig wie der Versuch, diese grausamen Taten nun als Bestätigung von Ressentiments etwa gegenüber Flüchtlingen oder gegenüber dem Islam zu missbrauchen"" , heißt es in Gabriels Brief."	perfid Plan Terrorist Keil Gesellschaft treiben dürfen aufgehen genauso wenig Versuch grausam Tat Bestätigung Ressentiment etwa gegenüber Flüchtling gegenüber Islam missbrauchen heißen Gabriel Brief 	['700', '703']	{'7'}
2	20150111	Innenminister Thomas de Maizière (CDU) sprach sich bei einem Treffen der EU-Innenminister am Sonntag für ein europäisches Fluggastdatenabkommen aus.	Innenminister Thomas de Maizière CDU sprechen Treffen EU-Innenminister Sonntag europäisch Fluggastdatenabkommen 	['400', '405', '500', '501']	{'4', '5'}
2	20150111	Um Anschläge zu verhindern, setze sie unter anderem auf die Kooperation mit ausländischen Sicherheitsdiensten. Dazu gehöre auch der Austausch von Fluggastdaten.	Anschlag verhindern setzen Kooperation ausländisch Sicherheitsdienst gehören Austausch Fluggastdat 	['400', '405', '500', '502', '800', '808']	{'4', '8', '5'}
2	20150111	"Die CDU tritt jeder Form von Extremismus entschieden entgegen, unabhängig davon, ob es sich um Rechts- oder Linksextremisten oder gewaltbereite Islamisten handelt."""	CDU treten Form Extremismus entschieden entgegen unabhängig davon Recht Linksextremist gewaltbereit Islamist handeln 	['700', '709', '710']	{'7'}
2	20150201	Bundesinnenminister de Maizière stellt eine lange geduldete Praxis in Frage – und erntet Kritik	Bundesinnenminister de Maizière stellen lang geduldet Praxis Frage ernten Kritik 	['200', '213']	{'2'}
2	20150109	Die Schwesterpartei CSU nämlich hatte bei ihrer Landesgruppenklausur Ende letzter Woche auch Änderungen im Strafrecht und die Wiedereinführung der Vorratsdatenspeicherung gefordert .	Schwesterpartei CSU nämlich Landesgruppenklausur Ende letzter Woche Änderung Strafrecht Wiedereinführung Vorratsdatenspeicherung fordern 	['900']	{'9'}
2	20150111	Dennoch möchte die CDU den Eindruck vermeiden, in hektischen Aktionismus zu verfallen. 	dennoch möchten CDU Eindruck vermeiden hektisch Aktionismus verfallen 	['900']	{'9'}
2	20150111	Eine Vorratsdatenspeicherung lehnt Angela Merkel ab	Vorratsdatenspeicherung lehnen Angela Merkel ab 	['900']	{'9'}
2	20150105	Man müsse die Pegida-Proteste ernst nehmen – mit diesen Worten eröffnete der Berliner Migrationsforscher Werner Schiffauer am Montag in Berlin seine Pressekonferenz mit zwei Kollegen	müssen Pegida-Protest ernst nehmen Wort eröffnen Berliner Migrationsforscher Werner Schiffauer Montag Berlin Pressekonferenz zwei Kollege 	['700', '712']	{'7'}
2	20150111	 Sowohl die CSU-Spitze als auch de Maizière hatte ablehnend auf Taubers Vorstoß reagiert	  sowohl CSU-Spitze de Maizière ablehnend Tauber Vorstoß reagieren 	['100', '108']	{'1'}
2	20150111	Eher eine Nebenrolle spielte in Hamburg der Vorschlag von CDU-Generalsekretär Peter Tauber, sich auf ein neues Zuwanderungsgesetz zu verständigen	eher Nebenrolle spielen Hamburg Vorschlag CDU-Generalsekretär Peter Tauber neu Zuwanderungsgesetz verständigen 	['100', '108']	{'1'}
2	20150111	"Ebenso bekämpfe man islamistische Propaganda und Gewalt von Salafisten.  ""Wer unseren freiheitlichen Staat bekämpft, dem werden wir mit aller Härte und Entschiedenheit entgegentreten."""	ebenso bekämpfen islamistisch Propaganda Gewalt Salafist   wer freiheitlich Staat bekämpfen Härte Entschiedenheit entgegentreten 	['400', '405']	{'4'}
2	20150105	"Führende Migrationsforscher fordern als Antwort auf Pegida ein  ""neues deutsches Leitbild"""	führend Migrationsforscher fordern Antwort Pegida   neu deutsch Leitbild 	['700', '714']	{'7'}
2	20150111	Nur eine Nebenrolle spielt der Vorschlag Peter Taubers für ein Einwanderungsgesetz	Nebenrolle spielen Vorschlag Peter Tauber Einwanderungsgesetz 	['100', '108']	{'1'}
2	20150111	"Wir wenden uns dagegen, den Islam unter einen Generalverdacht zu stellen"" , heißt es dort."	wenden dagegen Islam Generalverdacht stellen heißen 	['700', '711']	{'7'}
2	20150105	Statt die Rufe der Pegida-Anhänger nachzubeten, müsse man ihnen eine alternative Vision für das gesellschaftliche Zusammenleben in Deutschland entgegensetzen, plädierte Schiffauer.	statt Rufe Pegida-Anhänger nachzubeten müssen alternativ Vision gesellschaftlich zusammenleben Deutschland entgegensetzen plädieren Schiffauer 	['700', '714']	{'7'}
2	20150215	Nach der herben Wahlniederlage der CDU in Hamburg Mitte Februar hatte er seiner Partei empfohlen, sich bei den Themen Zuwanderung, Asyl, Integration und Islam klarer zu positionieren.	herb Wahlniederlage CDU Hamburg Mitte Februar Partei empfehlen Thema Zuwanderung Asyl Integration Islam klar positionieren 	['100', '199', '300', '399', '700', '799']	{'3', '7', '1'}
2	20150101	Anfang Januar hatte sich der CDU-General mit dieser Idee noch eine Abfuhr von seinen Parteigranden geholt.	Anfang Januar CDU-General Idee Abfuhr Parteigrand holen 	['100', '108']	{'1'}
2	20150105	 Es bräuchte einen Konsens in Fragen der Einwanderung und der Zugehörigkeit, betonte Schiffauer.	  bräuchen Konsens Frage Einwanderung Zugehörigkeit betonen Schiffauer 	['700', '714']	{'7'}
2	20150105	Der Rat für Migration schlägt deshalb vor, eine fachlich und überparteilich besetzte Kommission aus Politikern, Wissenschaftlern sowie Vertretern von Minderheiten und Mehrheitsgesellschaft einzurichten, um ein neues gesellschaftliches Leitbild zu formulieren.	Rat Migration schlagen deshalb fachlich überparteilich besetzt Kommission Politiker Wissenschaftler sowie Vertreter Minderheit Mehrheitsgesellschaft einrichten neu gesellschaftlich Leitbild formulieren 	['700', '714']	{'7'}
2	20150302	SPD-Fraktionschef Thomas Oppermann schwebt ein Punktesystem nach kanadischem Vorbild vor.	SPD-Fraktionschef Thomas Oppermann schweben Punktesystem kanadisch Vorbild 	['100', '108']	{'1'}
2	20150302	Mit einem Einwanderungsgesetz wollen junge CDU-Politiker in die Offensive kommen	Einwanderungsgesetz jung CDU-Politiker Offensive kommen 	['100', '108']	{'1'}
2	20150302	"Auch hierzulande müsse  ""eine Finanzierung von Moscheen und Imamen aus dem Ausland""  gesetzlich unterbunden werden, forderte er."	hierzulande müssen   Finanzierung Moschee Imam Ausland   gesetzlich unterbinden fordern 	['300', '313']	{'3'}
2	20150302	"In einem Spiegel-Interview warnte der 34-Jährige vor  ""importiertem Antisemitismus""  und Homophobie unter Muslimen und gab sich markig:  ""Wer unsere offene Gesellschaft für verdorben und verweichlicht hält oder wer in einem Gottesstaat leben will, dem kann ich einfach nur sagen: Geh und such dir ein anderes Land!"""	Spiegel-Interview warnen 34-Jährige   importiert Antisemitismus   Homophobie Muslim geben markig   wer offen Gesellschaft Verdorb verweichlicht halten wer Gottesstaat leben einfach sagen Geh such Land 	['700', '715']	{'7'}
2	20150302	Am Dienstag will die SPD ihre Pläne für ein Einwanderungsgesetz vorstellen.	Dienstag SPD Plan Einwanderungsgesetz vorstellen 	['100', '108']	{'1'}
2	20150302	Es soll sich nach Kriterien wie Alter, Ausbildung, Sprachkenntnissen sowie dem Fachkräftebedarf in Deutschland richten, um die Zuwanderung von Arbeitnehmern aus Staaten außerhalb der Europäischen Union (EU) zu steuern.	sollen Kriterium Alter Ausbildung Sprachkenntnissen sowie Fachkräftebedarf Deutschland richten Zuwanderung Arbeitnehmer Staat außerhalb europäisch Union EU steuern 	['100', '108']	{'1'}
2	20150302	Und nachdem in Österreich kürzlich strengere Regeln für die muslimischen Gemeinden des Landes erlassen wurden , pries Spahn diese als Vorbild für Deutschland .	nachdem Österreich kürzlich streng Regel muslimisch Gemeinde Land erlassen prie Spahn Vorbild Deutschland 	['700', '799']	{'7'}
2	20150302	" In einem 10-Thesen-Papier fordern sie jetzt unter anderem ein  ""klares, transparentes und leicht verständliches Einwanderungsgesetz"" , um bestehende Regelungen zu bündeln und  ""ein Signal der Offenheit""  auszusenden."	  10-Thesen-Papier fordern   klar transparent leicht verständlich Einwanderungsgesetz bestehend Regelung bündeln   Signal Offenheit   auszusenden 	['100', '108']	{'1'}
2	20150904	Erst am Freitag hatten die so genannten Vizegrad-Staaten (Ungarn, Polen, Tschechien und Slowakei) ihr Nein zur Aufnahme weiterer Flüchtlinge bekräftigt.	erst Freitag genannt Vizegrad-Staat Ungarn Polen Tschechien Slowakei Nein Aufnahme weit Flüchtling bekräftigen 	['500', '501']	{'5'}
2	20150906	Auch die baltischen Staaten lehnen eine verpflichtende Quote ab.	baltisch Staat lehnen verpflichtend Quote ab 	['500', '501']	{'5'}
2	20150906	Selbst der britische Premier David Cameron, der sich bisher als Mr Gnadenlos präsentiert hatte, hat sich unter dem Eindruck von Schockfotos eines ertrunkenen Flüchtlingskinds am Strand von Bodrum zur Aufnahme weiterer Syrer bereit erklärt.	britisch Premier David Cameron bisher Mr Gnadenlos präsentieren Eindruck Schockfoto ertrunken Flüchtlingskinds Strand Bodrum Aufnahme weit Syrer bereit erklären 	['500', '501']	{'5'}
2	20150906	Deutschland und Frankreich stehen zwar hinter Junckers Quotierungsplänen.	Deutschland Frankreich stehen Juncker Quotierungsplän 	['500', '501']	{'5'}
2	20150906	Einig waren sich die 28 Außenminister nur darin, stärker gegen Schlepper vorzugehen.	Außenminister darin stark Schlepper vorgehen 	['100', '109']	{'1'}
2	20150909	Erst am Mittwoch will Kommissionschef Jean-Claude Juncker seine neuen Pläne für eine gerechtere Verteilung der Flüchtlinge enthüllen. Dabei sind die wichtigsten Details längst durchgesickert. Noch einmal 120.000 Migranten möchte Juncker auf die EU-Staaten verteilen, zusätzlich zu den bereits im Mai vorgeschlagenen 40.000 Menschen.	erst Mittwoch Kommissionschef Jean-Claude Juncker neu Plan gerecht Verteilung Flüchtling enthüllen dabei wichtig Detail längst durchgesickeren Migrant möchten Juncker EU-Staat verteilen zusätzlich bereits Mai vorgeschlagen Mensch 	['500', '501']	{'5'}
2	20150906	Deutschland will sich beteiligen, allerdings muss zunächst noch der Bundestag zustimmen.	Deutschland beteiligen allerdings zunächst Bundestag zustimmen 	['100', '109']	{'1'}
2	20150906	 Nicht einmal ein Sondergipfel ist geplant, wie ihn Berlin und Wien vehement fordern. 	  Sondergipfel planen Berlin Wien vehement fordern 	['500', '501']	{'5'}
2	20150906	. Viele Staaten lehnen eine Flüchtlingsaufnahme ab.	vieler Staat lehnen Flüchtlingsaufnahme ab 	['100', '104']	{'1'}
2	20150906	Einigkeit besteht nur im Vorgehen gegen Schlepper	Einigkeit bestehen vorgehen Schlepper 	['100', '109']	{'1'}
2	20150906	 Ungarn will schon bald seine Grenze dicht machen	  Ungarn schon bald Grenze dicht 	['100', '104']	{'1'}
2	20150906	"Der slowakische Außenminister Miroslav Lajčák, der zu den Hardlinern zählt, warnte vor einer  ""Sogwirkung""  und einer  ""Einladung""  an die Flüchtlinge, wenn Europa die Regeln zu Grenzsicherung und Asyl über Bord werfe"	slowakisch Außenminister Miroslav Lajčák Hardliner zählen warnen   Sogwirkung     Einladung   Flüchtling Europa Regel Grenzsicherung Asyl Bord werfen 	['100', '104', '105']	{'1'}
2	20150831	"Angela Merkel nutzt die anderthalb Stunden in der Bundespressekonferenz auch, um jene zu ermutigen, die helfen.  ""Deutschland ist ein starkes Land"" , sagt sie.  ""Wir schaffen das."""	Angela Merkel nutzen anderthalb Stunde Bundespressekonferenz ermutigen helfen   Deutschland stark Land sagen   schaffen 	['700', '705']	{'7'}
2	20150831	Die Bundeskanzlerin verspricht in der Flüchtlingsfrage Hilfe für die Kommunen und lobt die freiwilligen Helfer	Bundeskanzlerin versprechen Flüchtlingsfrage Hilfe Kommune loben freiwillig Helfer 	['700', '705', '800', '805']	{'8', '7'}
2	20150831	Aus ihrer Sicht geht es darum, die Menschen, die sich Rechtsradikalen und Flüchtlingsgegnern entgegenstellen, zu ermutigen.	Sicht gehen darum Mensch rechtsradikale Flüchtlingsgegner entgegenstellen ermutigen 	['700', '708']	{'7'}
2	20150831	"Und für die, die bleiben, verspricht sie eine  ""faire Kostenverteilung""  und nachhaltige Integrationsleistungen."	bleiben versprechen   fair Kostenverteilung   nachhaltig Integrationsleistung 	['300', '301', '800', '803']	{'8', '3'}
2	20150831	Sie spricht sich für beschleunigte Verfahren bereits in den Erstaufnahmeeinrichtungen aus. 	sprechen beschleunigt Verfahren bereits Erstaufnahmeeinrichtung 	['800', '812']	{'8'}
2	20150831	"Und sie verspricht Ländern und Kommunen, dass der Bund finanziell  ""mehr tun""  werde"	versprechen Land Kommune Bund finanziell   mehr tun   	['800', '805']	{'8'}
2	20150831	Fremdenfeindliche Ausschreitungen seien durch nichts zu rechtfertigen	fremdenfeindlich Ausschreitung rechtfertigen 	['700', '703']	{'7'}
2	20150831	"Der Bund werde  ""seinen fairen Anteil leisten"" ."	Bund   fair Anteil leisten 	['800', '803']	{'8'}
2	20150826	"Auch öffentlich dankte sie noch einmal allen Hilfsorganisationen und den Kommunalpolitikern, die oft Hass ertragen müssten.  ""Wir haben eine riesige Herausforderung, die wir nur gemeinsam bewältigen können"" , sagte Merkel"	öffentlich danken Hilfsorganisation Kommunalpolitiker oft Hass ertragen müssten   riesig Herausforderung gemeinsam bewältigen sagen Merkel 	['700', '705']	{'7'}
2	20150819	" Eine Woche zuvor hatte er bei der Vorstellung eines neuen Unterbringungskonzepts für Flüchtlinge noch an die Sachsen appelliert,  ""ihre Herzen zu öffnen"" ."	  Woche zuvor Vorstellung neu Unterbringungskonzept Flüchtling Sachse appellieren   Herz öffnen 	['700', '705']	{'7'}
2	20150826	Als Tillich nun dazu aufforderte, in Flüchtlingen auch Menschen zu sehen, widersprach ihm ein Heidenauer Bürger	Tillich auffordern Flüchtling Mensch sehen widersprechen Heidenauer Bürger 	['700', '702']	{'7'}
2	20150831	Aus ihrer Sicht geht es darum, die Menschen, die sich Rechtsradikalen und Flüchtlingsgegnern entgegenstellen, zu ermutigen.	Sicht gehen darum Mensch rechtsradikale Flüchtlingsgegner entgegenstellen ermutigen 	['700', '703', '709']	{'7'}
2	20150831	"Das Einwanderungsgesetz, das die SPD und Teile der CDU fordern, nennt sie  ""im Augenblick nicht vordringlich"" ."	Einwanderungsgesetz SPD Teil CDU fordern nennen   Augenblick vordringlich 	['100', '108']	{'1'}
2	20150826	Zugleich stellte sie mehr Bundesmittel für die Flüchtlingsunterbringung in Aussicht.	zugleich stellen mehr Bundesmittel Flüchtlingsunterbringung Aussicht 	['800', '805']	{'8'}
2	20150831	"Um das zu erreichen, müsse sich auch die Europäische Union  ""bewegen"" "	erreichen müssen europäisch Union   bewegen 	['500', '501']	{'5'}
2	20150826	Etwa 250 Schaulustige und aufgebrachte Bürger, aber auch bekannte Pegida-Aktivisten, protestierten mit Buhrufen.	etwa Schaulustige aufgebracht Bürger bekannt Pegida-Aktiviste protestieren Buhrufe 	['100', '190']	{'1'}
2	20150826	Als Tillich nun dazu aufforderte, in Flüchtlingen auch Menschen zu sehen, widersprach ihm ein Heidenauer Bürger: 	Tillich auffordern Flüchtling Mensch sehen widersprechen Heidenauer Bürger 	['700', '702']	{'7'}
2	20150826	Im anschließenden improvisierten Pressestatement betonte die Bundeskanzlerin das Recht der Flüchtlinge auf faire Behandlung und ein Asylverfahren	anschließend improvisiert Pressestatement betonen Bundeskanzlerin Recht Flüchtling fair Behandlung Asylverfahren 	['100', '110']	{'1'}
2	20151124	" Aber wenn wir die Chance nutzen, sie in den Arbeitsmarkt zu integrieren, werden sie eine Bereicherung sein"" , sagte Arbeitgeberpräsident Ingo Kramer, den die Delegierten zuvor für zwei weitere Jahre im Amt bestätigt hatten."	  Chance nutzen Arbeitsmarkt integrieren Bereicherung sagen Arbeitgeberpräsident Ingo Kramer delegierter zuvor zwei weit Jahr Amt bestätigen 	['600', '601']	{'6'}
2	20150826	Nach Berichten von Teilnehmern äußerte Merkel, dass es keine Toleranz gegenüber jenen geben dürfe, die die Würde des Menschen nicht achteten.	Bericht Teilnehmer äußern Merkel Toleranz gegenüber geben dürfen Mensch achteten 	['700', '702']	{'7'}
2	20150826	 Sie sprach sich dafür aus, Außenstellen des Bundesamtes für Migration ortsnah zu platzieren, um Verfahren zu beschleunigen.	  sprechen dafür Außenstelle Bundesamt Migration ortsnah platzieren Verfahren beschleunigen 	['800', '812']	{'8'}
2	20151105	Steuererhöhungen kommen für die Union ebenfalls nicht infrage	Steuererhöhung kommen Union ebenfalls Infrage 	['900']	{'9'}
2	20151124	Kanzlerin Merkel verspricht schonende Reform der Leiharbeit	Kanzlerin Merkel versprechen schonend Reform Leiharbeit 	['600', '900']	{'9', '6'}
2	20151124	Geflüchtete sollen ohne Mindestlohn ackern	Geflüchtet sollen Mindestlohn ackern 	['600', '605']	{'6'}
2	20150826	"Eine rigorose "" Therapie "" für die Sachsen verlangte indessen ein Mitarbeiter der Welthungerhilfe aus Köln , der seinen Namen nicht nennen wollte ."	rigoros Therapie Sachse verlangen indessen Mitarbeiter Welthungerhilfe Köln Name nennen 	['900']	{'9'}
2	20150826	"Man solle die Leute hier mal ein bisschen "" auf Entzug setzen "" ."	sollen Leute mal bissch Entzug setzen 	['900']	{'9'}
2	20151124	Nach wie vor sieht die Wirtschaft in Geflüchteten vor allem potenzielle Arbeitskräfte.	sehen Wirtschaft Geflüchtet potenziell Arbeitskraft 	['600', '606']	{'6'}
2	20151124	"""Die Wirtschaft kann die Integration in den Arbeitsmarkt nicht alleine leisten. Die Politik muss die Voraussetzungen schaffen"" , sagte Kramer"	Wirtschaft Integration Arbeitsmarkt alleine leisten Politik Voraussetzung schaffen sagen Kramer 	['800', '802']	{'8'}
2	20151124	Kramer wiederholte Forderungen anderer Arbeitgebervertreter, den Mindestlohn für Flüchtlinge zunächst auszusetzen.	Kramer wiederholt Forderung Arbeitgebervertreter Mindestlohn Flüchtling zunächst aussetzen 	['600', '605']	{'6'}
2	20151124	" Kramer forderte, dass Flüchtlinge  ""verpflichtend und unkompliziert an Sprachkursen teilnehmen""  sollten."	  Kramer fordern Flüchtling   verpflichtend unkompliziert Sprachkursen teilnehmen   sollen 	['300', '302', '303']	{'3'}
2	20151124	Die Politik müsse die Mittel zur Verfügung stellen, um Flüchtlingen schneller als bisher die deutsche Sprache beizubringen.	Politik müssen Mittel Verfügung stellen Flüchtling schnell bisher deutsch Sprache beizubringen 	['300', '302', '800', '802']	{'8', '3'}
2	20151124	Daneben fordern die Unternehmer, Flüchtlinge billiger beschäftigen zu dürfen.	daneben fordern Unternehmer Flüchtling billig beschäftigen dürfen 	['600', '606']	{'6'}
2	20150113	PARLAMENT Trotz rechtlicher Hürden fordert die Union mal wieder die Vorratsdatenspeicherung	PARLAMENT trotz rechtlich Hürde fordern Union mal Vorratsdatenspeicherung 	['900']	{'9'}
2	20151124	Sprachkurse und Ausnahmen vom Mindestlohn.	Sprachkurs Ausnahme Mindestlohn 	['600', '605']	{'6'}
2	20151124	Sprachkurse und Ausnahmen vom Mindestlohn.	Sprachkurs Ausnahme Mindestlohn 	['300', '302']	{'3'}
2	20150113	Bedenken äußerte Grosse-Brömer zu dem Vorschlag von CDU-Generalsekretär Peter Tauber, über ein neues Einwanderungsgesetz zu diskutieren	Bedenken äußern Grosse-Brömer Vorschlag CDU-Generalsekretär Peter Tauber neu Einwanderungsgesetz diskutieren 	['100', '108']	{'1'}
2	20150110	Am Samstag hatte sich CDU-Vorsitzende Angela Merkel für eine entsprechende Debatte ausgesprochen.	Samstag CDU-Vorsitzende Angela Merkel entsprechend Debatte aussprechen 	['700', '712']	{'7'}
2	20150113	Bedenken äußerte Grosse-Brömer zu dem Vorschlag von CDU-Generalsekretär Peter Tauber, über ein neues Einwanderungsgesetz zu diskutieren.	Bedenken äußern Grosse-Brömer Vorschlag CDU-Generalsekretär Peter Tauber neu Einwanderungsgesetz diskutieren 	['100', '108']	{'1'}
2	20150113	Als Vertreter der Fraktionsspitze forderte er, die Sicherheits- und Zuwanderungsdebatte dennoch weiter zu führen.	Vertreter Fraktionsspitze fordern Sicherheit Zuwanderungsdebatte dennoch führen 	['700', '712']	{'7'}
2	20150113	"""Wir sehen deshalb nicht die Notwendigkeit eines neuen Gesetzes."" "	sehen deshalb Notwendigkeit neu Gesetz 	['100', '108']	{'1'}
2	20150113	SPD-Minister Maas ist entschieden gegen ein solches Gesetz , das die Speicherung von Telefon- , E-Mail- und Internetverbindungsdaten aller Nutzer ohne konkreten Verdacht für mehrere Monate ermöglichen würde .	SPD-Minister Maas entschieden Gesetz Speicherung Telefon E-Mail- Internetverbindungsdat Nutzer konkret Verdacht mehrere Monat ermöglichen 	['900']	{'9'}
2	20150113	BERLIN taz | Nein zum Terror und deshalb ja zur Vorratsdatenspeicherung.	Berlin taz Nein Terror deshalb ja Vorratsdatenspeicherung 	['400', '405', '900']	{'4', '9'}
2	20151001	Anfang Oktober rechneten 34 CDU-Funktionäre in einem Brandbrief mit der Asylpolitik Merkels ab und forderten klare Maßnahmen gegen die Einreise von Flüchtlingen.	Anfang Oktober rechneen CDU-Funktionär Brandbrief Asylpolitik Merkel ab fordern klar Maßnahme Einreise Flüchtling 	['100', '190']	{'1'}
2	20151001	Anfang Oktober rechneten 34 CDU-Funktionäre in einem Brandbrief mit der Asylpolitik Merkels ab und forderten klare Maßnahmen gegen die Einreise von Flüchtlingen.	Anfang Oktober rechneen CDU-Funktionär Brandbrief Asylpolitik Merkel ab fordern klar Maßnahme Einreise Flüchtling 	['100', '104']	{'1'}
2	20151013	"""Wir brauchen europäische Solidarität"" , sagt sie und kündigt an,  Gespräche mit der Türkei über den Grenzschutz zu führen."	brauchen europäisch Solidarität sagen kündigen   Gespräch Türkei Grenzschutz führen 	['500', '501', '507']	{'5'}
2	20151013	Als die CDU-Vorsitzende von den Verschärfungen des Asylrechts spricht, davon, dass Abschiebungen zukünftig nicht mehr angekündigt, Leistungen für Ausreiseunwillige gestrichen und Menschen mit geringer Bleibeperspektive in den Erstaufnahme-Unterkünften untergebracht werden können, bis ihr Antrag innerhalb von sechs Monaten bearbeitet wurde, klatschen die Mitglieder. 	CDU-Vorsitzend Verschärfung Asylrecht sprechen davon Abschiebung zukünftig mehr ankündigen Leistung Ausreiseunwillig streichen Mensch gering Bleibeperspektive Erstaufnahme-Unterkünft unterbringen Antrag innerhalb sechs Monat bearbeiten klatschen Mitglied 	['100', '110', '300', '309']	{'3', '1'}
2	20151013	Flüchtlinge ohne Bleibeperspektive sollen in den Kommunen nicht integriert und Abschiebungen beschleunigt werden	Flüchtling Bleibeperspektive sollen Kommune integrieren Abschiebung beschleunigen 	['200', '207', '800', '812']	{'8', '2'}
2	20151013	Die norddeutsche Parteibasis steht hinter Angela Merkel	norddeutsch Parteibasis stehen Angela Merkel 	['100', '190']	{'1'}
2	20151013	 Sie sagt, das Land werde sich zwar wandeln, aber die Ankommenden müssten sich an das Grundgesetz halten. 	  sagen Land wandeln Ankommende müssen Grundgesetz halten 	['700', '706']	{'7'}
2	20151013	Hinzu kommt die Debatte um Transitzonen an deutschen Außengrenzen, die vor allem die CSU fordert.	hinzu kommen Debatte Transitzone deutsch Außengrenze CSU fordern 	['200', '215']	{'2'}
2	20151013	Merkel verteidigt ihren Kurs alleine.	Merkel verteidigen Kurs alleine 	['100', '190']	{'1'}
2	20150814	"Projekte wie  ""Refugees Emancipation"" , ein selbst organisiertes Flüchtlingsprojekt bieten Kurse in Word, Excel und anderen Computerprogrammen an."	Projekt   Refugee Emancipation organisiert Flüchtlingsprojekt bieten Kurs Word Excel Computerprogramm 	['300', '301']	{'3'}
2	20151013	"Damit allen geholfen werden könne, die Unterstützung bräuchten,  ""müssen wir auch sagen, wem wir nicht helfen wollen"" , sagt sie."	helfen Unterstützung bräuchn   müssen sagen wem helfen sagen 	['700', '707']	{'7'}
2	20151013	" ""Damit allen Menschen geholfen werden kann, die unsere Unterstützung brauchen,  ""müssen wir auch sagen, wem wir nicht helfen wollen"" "	  Mensch helfen Unterstützung brauchen   müssen sagen wem helfen 	['700', '707']	{'7'}
2	20151013	"Schluss ist für die Christdemokratin damit allerdings bei  ""Wirtschaftsflüchtlingen""  aus sogenannten sicheren Herkunftsländern"	Schluss Christdemokratin allerdings   Wirtschaftsflüchtlingen   sogenannter sicher Herkunftsland 	['700', '707']	{'7'}
2	20150814	"Heime besuchen, Treffpunkte schaffen und sich austauschen, empfiehlt auch die Menschenrechtsorganisation Pro Asyl.


"	"Heim besuchen Treffpunkt schaffen austauschen empfehlen Menschenrechtsorganisation pro Asyl 


 "	['700', '705']	{'7'}
